Base Price;;Name;Supplier;Image URL
23.60;;Excel 2013. Kurs video. Poziom drugi. Przetwarzanie i analiza danych;Daniel Brzózka;https://static01.helion.com.pl/global/okladki/145x218/vex132.png
31.05;;Linux DevOps. Kurs video. Jenkins, Ansible, Terraform i Traefik;Adam Raźniewski;https://static01.helion.com.pl/global/okladki/145x218/vlised.png
15.71;;Testowanie w Angularze. Kurs video. Karma i Jasmine;Dawid Perdek;https://static01.helion.com.pl/global/okladki/145x218/vtesan.png
31.05;;Test Driven Development. Kurs video. Sztuka pisania niezawodnego kodu;Jarosław Porwoł;https://static01.helion.com.pl/global/okladki/145x218/vtedrd.png
40.05;;Docker. Kurs video. Praca z systemem konteneryzacji i Docker Swarm;Adam Raźniewski;https://static01.helion.com.pl/global/okladki/145x218/vdocke.png
26.55;;Kotlin w praktyce. Kurs video. Tworzenie aplikacji webowych za pomocą Spring Boota;Radosław Słowiński ;https://static01.helion.com.pl/global/okladki/145x218/vtawsb.png
22.05;;Sass od podstaw. Kurs video. Budowa kompleksowej strony  w oparciu o metodologię BEM;Maksymilian Olszewski;https://static01.helion.com.pl/global/okladki/145x218/vcssas.png
26.55;;Tworzenie gier multiplayer dla programistów Unity. Poziom pierwszy. Kurs video;Arkadiusz Brzegowy;https://static01.helion.com.pl/global/okladki/145x218/vunit1.png
31.05;;Angielski w biznesie. Kurs video. Poziom pierwszy. Kurs językowy dla zapracowanych;Anna Lewoc;https://static01.helion.com.pl/global/okladki/145x218/vangbi.png
26.55;;Testowanie aplikacji mobilnych na platformę Android. Kurs video. Poziom pierwszy. Testy jednostkowe i UI;Michał Szczepanik;https://static01.helion.com.pl/global/okladki/145x218/vtesaa.png
26.55;;Kotlin dla Android Developerów. Kurs video. Programowanie aplikacji;Michał Szczepanik;https://static01.helion.com.pl/global/okladki/145x218/vkotan.png
44.55;;Android. Kurs video. Poziom drugi. Zaawansowane programowanie aplikacji;Michał Szczepanik;https://static01.helion.com.pl/global/okladki/145x218/vtaan2.png
44.55;;Angielski dla specjalistów IT. Kurs video. Komunikacja w codziennej pracy;Anna Lewoc;https://static01.helion.com.pl/global/okladki/145x218/vangit.png
44.55;;Praktyczny kurs programowania C# w Unity. Kurs video. Poziom podstawowy;Arkadiusz Brzegowy;https://static01.helion.com.pl/global/okladki/145x218/vjcpru.png
34.65;;Platforma Xamarin. Kurs video. Poziom pierwszy. Tworzenie pierwszej aplikacji cross-platform;Daniel Krzyczkowski;https://static01.helion.com.pl/global/okladki/145x218/vplaxa.png
26.55;;Wyrażenia regularne. Kurs video. Poziom pierwszy. Proste wzorce, które odmienią Twoje życie;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/vwyrar.png
