Base Price,Price Tax Included,Name,Supplier,Image URL,Url
89.55,1,Amazon Web Services (AWS). Kurs video. Zostań administratorem systemów IT,Piotr Kośka,https://static01.helion.com.pl/global/okladki/145x218/vawses.png,"https://helion.pl/ksiazki/amazon-web-services-aws-kurs-video-zostan-administratorem-systemow-it-piotr-koska,vawses.htm#format/w"
44.55,1,Ubuntu 20.04. Kurs video. Zostań administratorem systemów IT,Piotr Kośka,https://static01.helion.com.pl/global/okladki/145x218/vubun2.png,"https://helion.pl/ksiazki/ubuntu-20-04-kurs-video-zostan-administratorem-systemow-it-piotr-koska,vubun2.htm#format/w"
31.05,1,ASP .NET Core. Kurs video. Rozwijanie dodatkowych funkcjonalności Web API,Jakub Kozera,https://static01.helion.com.pl/global/okladki/145x218/vaspnc.png,"https://helion.pl/ksiazki/asp-net-core-kurs-video-rozwijanie-dodatkowych-funkcjonalnosci-web-api-jakub-kozera,vaspnc.htm#format/w"
17.95,1," T-SQL. Kurs video. Wykorzystanie baz danych przy użyciu niekonwencjonalnych rozwiązań. Sztuczki i gotowe rozwiązania",Przemysław Starosta,https://static01.helion.com.pl/global/okladki/145x218/vtsqls.png,"https://helion.pl/ksiazki/t-sql-kurs-video-wykorzystanie-baz-danych-przy-uzyciu-niekonwencjonalnych-rozwiazan-sztuczki-i-go-przemyslaw-starosta,vtsqls.htm#format/w"
199.00,1,Blockchain. Kurs video. Smart kontrakty i aplikacje zdecentralizowane w praktyce,Sylwester Wieczorkowski,https://static01.helion.com.pl/global/okladki/145x218/vblock.png,"https://helion.pl/ksiazki/blockchain-kurs-video-smart-kontrakty-i-aplikacje-zdecentralizowane-w-praktyce-sylwester-wieczorkowski,vblock.htm#format/w"
15.96,1,Excel - szybkie przetwarzanie danych. Sztuczki i gotowe rozwiązania. Kurs video,Daniel Brzózka,https://static01.helion.com.pl/global/okladki/145x218/vextr2.png,"https://helion.pl/ksiazki/excel-szybkie-przetwarzanie-danych-sztuczki-i-gotowe-rozwiazania-kurs-video-daniel-brzozka,vextr2.htm#format/w"
27.60,1,Excel 2016 i programowanie VBA. Kurs video. Poziom drugi. Zaawansowane techniki tworzenia makr,Jarosław Baca,https://static01.helion.com.pl/global/okladki/145x218/ve16v2.png,"https://helion.pl/ksiazki/excel-2016-i-programowanie-vba-kurs-video-poziom-drugi-zaawansowane-techniki-tworzenia-makr-jaroslaw-baca,ve16v2.htm#format/w"
29.50,1,Python. Kurs video. Wzorce czynnościowe i architektoniczne oraz antywzorce,Karol Kurek,https://static01.helion.com.pl/global/okladki/145x218/vwzpro.png,"https://helion.pl/ksiazki/python-kurs-video-wzorce-czynnosciowe-i-architektoniczne-oraz-antywzorce-karol-kurek,vwzpro.htm#format/w"
58.05,1,Poradnik hakera. Kurs video. Inżynieria odwrotna plików binarnych,Marcin Gomulak,https://static01.helion.com.pl/global/okladki/145x218/vporha.png,"https://helion.pl/ksiazki/poradnik-hakera-kurs-video-inzynieria-odwrotna-plikow-binarnych-marcin-gomulak,vporha.htm#format/w"
31.05,1,"Blender 2.71. Kurs video. Poziom pierwszy. Modelowanie w 3D, animacja i renderowanie",Marcin Strzempkowski,https://static01.helion.com.pl/global/okladki/145x218/blendp.png,"https://helion.pl/ksiazki/blender-2-71-kurs-video-poziom-pierwszy-modelowanie-w-3d-animacja-i-renderowanie-marcin-strzempkowski,blendp.htm#format/w"
31.05,1,GIMP 2.10. Kurs video. Obróbka fotografii i tworzenie grafik,Jarosław Baca,https://static01.helion.com.pl/global/okladki/145x218/vgi210.png,"https://helion.pl/ksiazki/gimp-2-10-kurs-video-obrobka-fotografii-i-tworzenie-grafik-jaroslaw-baca,vgi210.htm#format/w"
31.60,1,Excel 2019. Kurs video. Postaw pierwsze kroki!,Daniel Brzózka,https://static01.helion.com.pl/global/okladki/145x218/vex19p.png,"https://helion.pl/ksiazki/excel-2019-kurs-video-postaw-pierwsze-kroki-daniel-brzozka,vex19p.htm#format/w"
76.05,1,React Native. Kurs video. Zostań programistą aplikacji mobilnych,Sebastian Mysakowski,https://static01.helion.com.pl/global/okladki/145x218/vuczgl.png,"https://helion.pl/ksiazki/react-native-kurs-video-zostan-programista-aplikacji-mobilnych-sebastian-mysakowski,vuczgl.htm#format/w"
44.55,1,Angielski dla specjalistów IT. Kurs video. Level up,Anna Lewoc,https://static01.helion.com.pl/global/okladki/145x218/vanit2.png,"https://helion.pl/ksiazki/angielski-dla-specjalistow-it-kurs-video-level-up-anna-lewoc,vanit2.htm#format/w"
59.50,1,Angular 10. Kurs video. Budowa aplikacji od podstaw,Rafał Słuja,https://static01.helion.com.pl/global/okladki/145x218/vlara6.png,"https://helion.pl/ksiazki/angular-10-kurs-video-budowa-aplikacji-od-podstaw-rafal-sluja,vlara6.htm#format/w"
17.95,1,Ćwiczenia na bóle kręgosłupa i inne przypadłości osób przywiązanych do biurka. Kurs wideo,Anna Brzegowa,https://static01.helion.com.pl/global/okladki/145x218/vzescw.png,"https://helion.pl/ksiazki/cwiczenia-na-bole-kregoslupa-i-inne-przypadlosci-osob-przywiazanych-do-biurka-kurs-wideo-anna-brzegowa,vzescw.htm#format/w"
31.05,1,Wzorce projektowe dla programistów C#. Kurs video,Jacek Matulewski,https://static01.helion.com.pl/global/okladki/145x218/vwzprp.png,"https://helion.pl/ksiazki/wzorce-projektowe-dla-programistow-c-kurs-video-jacek-matulewski,vwzprp.htm#format/w"
134.55,1,Java Full Stack Developer. Kurs video. Tworzenie aplikacji internetowych od podstaw,Marcin Berendt,https://static01.helion.com.pl/global/okladki/145x218/vjavfu.png,"https://helion.pl/ksiazki/java-full-stack-developer-kurs-video-tworzenie-aplikacji-internetowych-od-podstaw-marcin-berendt,vjavfu.htm#format/w"
58.05,1,Git. Kurs video. Zaawansowane aspekty konfiguracji popularnego systemu kontroli wersji,Tomasz Trębski,https://static01.helion.com.pl/global/okladki/145x218/vkogiz.png,"https://helion.pl/ksiazki/git-kurs-video-zaawansowane-aspekty-konfiguracji-popularnego-systemu-kontroli-wersji-tomasz-trebski,vkogiz.htm#format/w"
53.55,1,React.js i Node.js. Kurs video. Budowanie serwisu w oparciu o popularne biblioteki języka JavaScript,Jakub Kukuryk,https://static01.helion.com.pl/global/okladki/145x218/vnodre.png,"https://helion.pl/ksiazki/react-js-i-node-js-kurs-video-budowanie-serwisu-w-oparciu-o-popularne-biblioteki-jezyka-javascript-jakub-kukuryk,vnodre.htm#format/w"
26.55,1,Język UML. Kurs video. Poziom pierwszy. Modelowanie systemów informatycznych,Marcin Albiniak,https://static01.helion.com.pl/global/okladki/145x218/vumlkv.png,"https://helion.pl/ksiazki/jezyk-uml-kurs-video-poziom-pierwszy-modelowanie-systemow-informatycznych-marcin-albiniak,vumlkv.htm#format/w"
34.50,1,Adobe Illustrator. Kurs video. Poziom pierwszy. Projektowanie grafiki wektorowej,Marcin Strzempkowski,https://static01.helion.com.pl/global/okladki/145x218/illusp.png,"https://helion.pl/ksiazki/adobe-illustrator-kurs-video-poziom-pierwszy-projektowanie-grafiki-wektorowej-marcin-strzempkowski,illusp.htm#format/w"
